Scenario,Model,Accuracy,Precision,Recall,F1-Score
Hyperparameter Tuning,Voting Classifier,0.8553333333333333,0.5149769585253456,0.9717391304347828,0.6731927710843374
Preprocessing,Voting Classifier,0.8473333333333334,0.5053763440860215,0.2043478260869565,0.2910216718266253
Direct Modeling,Voting Classifier,0.8423333333333334,0.46524064171123,0.1891304347826087,0.2689335394126739
