Scenario,Accuracy,Precision,Recall,F1-Score
Direct Modeling,0.8416666666666667,0.41823810864058547,0.08188405797101446,0.1227057029151656
Hyperparameter Tuning,0.8198888888888889,0.4592459755791065,0.8927536231884058,0.6062070612833853
Preprocessing,0.8458888888888888,0.49303162768899716,0.18260869565217389,0.265857289203097
