mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selector__max_features,param_model__penalty,param_model__class_weight,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.1746071974436445,0.5534233852619442,1.8550964991251628,0.4150121675918271,30,l2,,1.0,"{'selector__max_features': 30, 'model__penalty': 'l2', 'model__class_weight': None, 'model__C': 1}",0.25934579439252337,0.24667472793228537,0.2692307692307692,0.2584170971851927,0.009231850975180263,9
4.276902834574382,0.41125610872961216,1.7667632102966309,0.1093974128285216,50,l2,,10.0,"{'selector__max_features': 50, 'model__penalty': 'l2', 'model__class_weight': None, 'model__C': 10}",0.25882352941176473,0.25149700598802394,0.2685851318944844,0.25963522243142434,0.006999768849392313,4
8.047273794809977,0.17001404271914755,1.7596371173858643,0.38861963875826944,51,l1,,1.0,"{'selector__max_features': 51, 'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 1}",0.25821596244131456,0.25210084033613445,0.2665066026410564,0.2589411351395018,0.005903439871697674,6
6.8575780391693115,0.7511013619900222,1.1563231150309246,0.3202946300198593,50,l1,balanced,10.0,"{'selector__max_features': 50, 'model__penalty': 'l1', 'model__class_weight': 'balanced', 'model__C': 10}",0.4833247819394561,0.4700944386149003,0.49011446409989595,0.48117789488475077,0.008312929612926873,2
4.129930416742961,0.23116098168441998,1.0974970658620198,0.6203717624695219,30,l1,,1.0,"{'selector__max_features': 30, 'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 1}",0.2596491228070175,0.2469733656174334,0.2689075630252101,0.25851001714988703,0.008990751739219184,8
10.838633934656778,2.2593806802204193,1.355418602625529,0.9111556981083871,50,l1,,10.0,"{'selector__max_features': 50, 'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 10}",0.25882352941176473,0.25149700598802394,0.2665066026410564,0.25894237934694836,0.00612821844160279,5
4.3587011496226,0.2967877577452749,0.9401355584462484,0.057944353291727015,30,l1,,0.1,"{'selector__max_features': 30, 'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 0.1}",0.25,0.2426470588235294,0.2639225181598063,0.25218985899444524,0.008822618821493503,10
4.444330771764119,0.11070840263800304,1.1846080621083577,0.6053039600881067,50,l1,balanced,0.1,"{'selector__max_features': 50, 'model__penalty': 'l1', 'model__class_weight': 'balanced', 'model__C': 0.1}",0.48314606741573035,0.47520661157024796,0.49011446409989595,0.48282238102862474,0.006090407562680356,1
3.9443861643473306,0.5983278666686854,1.7748794555664062,0.8785364512867466,50,l2,,0.01,"{'selector__max_features': 50, 'model__penalty': 'l2', 'model__class_weight': None, 'model__C': 0.01}",0.20532319391634982,0.19505851755526657,0.19948186528497408,0.19995452558553017,0.00420384356030182,12
5.9771302541097,0.027818432757630466,0.15733893712361655,0.010953726701363282,50,l1,,1.0,"{'selector__max_features': 50, 'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 1}",0.25821596244131456,0.25210084033613445,0.2665066026410564,0.2589411351395018,0.005903439871697674,6
3.6565895875295005,0.24415302446695825,1.0488080183664958,0.20746014437182758,51,l1,balanced,0.01,"{'selector__max_features': 51, 'model__penalty': 'l1', 'model__class_weight': 'balanced', 'model__C': 0.01}",0.481335952848723,0.4716417910447761,0.48220551378446114,0.47839441922598674,0.0047880075585084135,3
2.426576296488444,0.6010271008663546,0.18981520334879556,0.004201150455181217,30,l2,,0.01,"{'selector__max_features': 30, 'model__penalty': 'l2', 'model__class_weight': None, 'model__C': 0.01}",0.21012658227848102,0.21526908635794745,0.22900763358778625,0.21813443407473823,0.007969993215795642,11
