Scenario,Model,Accuracy,Precision,Recall,F1-Score
Direct Modeling,Logistic Regression,0.836,0.2894736842105263,0.04782608695652174,0.08208955223880597
Direct Modeling,Random Forest,0.8466666666666667,0.5,0.008695652173913044,0.017094017094017096
Direct Modeling,Voting Classifier,0.8423333333333334,0.46524064171123,0.1891304347826087,0.2689335394126739
