Scenario,Model,Accuracy,Precision,Recall,F1-Score
Preprocessing,Logistic Regression,0.846,0.4930555555555556,0.15434782608695652,0.23509933774834438
Preprocessing,Random Forest,0.8443333333333334,0.48066298342541436,0.1891304347826087,0.2714508580343214
Preprocessing,Voting Classifier,0.8473333333333334,0.5053763440860215,0.20434782608695654,0.29102167182662536
