mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selector__max_features,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
11.252857367197672,1.2090107560212253,2.1856118043263755,1.182649064925633,51,200,2,4,20,balanced_subsample,"{'selector__max_features': 51, 'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}",0.6155674390968509,0.6095931997571342,0.6155827430779137,0.613581127310633,0.002819897537373153,5
10.17434573173523,1.3446553424257153,3.1768991152445474,1.2589848560935244,50,200,2,1,,balanced,"{'selector__max_features': 50, 'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_depth': None, 'model__class_weight': 'balanced'}",0.18586387434554974,0.14565826330532214,0.16361071932299012,0.165044285657954,0.01644514364196057,12
11.442327896753946,2.147191186379833,2.8548776308695474,1.5831385942278025,51,200,10,4,10,balanced_subsample,"{'selector__max_features': 51, 'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_depth': 10, 'model__class_weight': 'balanced_subsample'}",0.6412382531785517,0.6456692913385826,0.6617312072892938,0.6495462506021427,0.008803915867185614,3
12.711861530939737,0.1875438413784354,0.8234130541483561,0.16556997515833283,30,200,10,4,20,balanced,"{'selector__max_features': 30, 'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_depth': 20, 'model__class_weight': 'balanced'}",0.629608621667612,0.6338354577056778,0.6409356725146199,0.6347932506293033,0.004673581473637098,4
7.683677117029826,0.8669482598443389,2.9346415996551514,0.7573168139509256,30,100,2,2,5,,"{'selector__max_features': 30, 'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_depth': 5, 'model__class_weight': None}",0.003246753246753247,0.003257328990228013,0.003257328990228013,0.0032538037424030913,4.985453284731044e-06,15
9.878339052200317,0.1759709758247963,0.9823382695515951,0.03143706698055435,50,200,10,1,,balanced_subsample,"{'selector__max_features': 50, 'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",0.5365853658536586,0.521805661820964,0.5167074164629177,0.5250328147125134,0.008429871680885397,9
9.136478344599405,0.8004212361059195,2.911668539047241,1.507291299202787,50,100,2,2,20,,"{'selector__max_features': 50, 'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_depth': 20, 'model__class_weight': None}",0.25118483412322273,0.267314702308627,0.27007299270072993,0.26285750971085986,0.008330288430478942,11
9.330625295639038,0.30660493564200325,2.129298528035482,1.499599358277435,51,200,2,2,10,,"{'selector__max_features': 51, 'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_depth': 10, 'model__class_weight': None}",0.055130168453292494,0.047021943573667714,0.05846153846153846,0.05353788349616622,0.004803999121438137,13
9.320696671803793,1.121270095495864,1.7639845212300618,1.118668466825003,30,200,10,1,,balanced,"{'selector__max_features': 30, 'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_depth': None, 'model__class_weight': 'balanced'}",0.5639972621492129,0.548480463096961,0.5410700828937453,0.5511826027133063,0.009553011952005976,8
6.823105414708455,1.2039196932251615,3.7626909414927163,1.0622397564314907,50,100,5,1,5,balanced,"{'selector__max_features': 50, 'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_depth': 5, 'model__class_weight': 'balanced'}",0.6533261222282315,0.6626506024096386,0.6651835372636262,0.6603867539671655,0.005098583473754731,1
9.699247598648071,0.5792269779554622,1.7697823842366536,0.3608105206378423,51,200,5,1,20,balanced_subsample,"{'selector__max_features': 51, 'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}",0.3803088803088803,0.4127906976744186,0.3113101903695409,0.3681365894509467,0.0423138814044236,10
8.435344457626343,1.638438599679234,3.8173458576202393,0.5460419715427666,51,200,5,1,5,balanced,"{'selector__max_features': 51, 'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_depth': 5, 'model__class_weight': 'balanced'}",0.6504854368932039,0.6578657865786579,0.6618059450364554,0.6567190561694392,0.004692172142972173,2
7.344511191050212,0.14177361063454189,1.583745002746582,0.0687852645593239,30,200,10,2,,balanced,"{'selector__max_features': 30, 'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_depth': None, 'model__class_weight': 'balanced'}",0.5799115603284902,0.5903307888040712,0.6080634500991408,0.5927685997439007,0.011621514991557077,6
7.5471084912618,0.9719100566755904,1.0473229090372722,0.7183467291529136,30,200,5,2,5,,"{'selector__max_features': 30, 'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_depth': 5, 'model__class_weight': None}",0.003257328990228013,0.012965964343598054,0.0032626427406199023,0.006495312024815323,0.004575442647577904,14
7.665069977442424,0.3049657093091411,0.36644379297892254,0.08757460638057334,50,100,10,2,,balanced_subsample,"{'selector__max_features': 50, 'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",0.5803513337670787,0.5804713804713805,0.5833333333333334,0.5813853491905975,0.001378304385362969,7
